,bus0,bus1,length,v_nom,num_parallel,project_status,build_year,tags,x0,y0,x1,y1,type,underground
TYNDP2024_1688,Nuojuankangas,Huutokoski,290.0,400.0,,under_construction,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1688"""", """"tyndp2024_invest_id""""=>""""1688""""""",26.764817,64.56366,27.803525,62.263028,,False
TYNDP2024_1689,Petäjäskoski,Nuojuankangas,215.0,400.0,,in_permitting,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1689"""", """"tyndp2024_invest_id""""=>""""1689""""""",26.853707,64.603954,25.406632,66.284111,,False
TYNDP2024_1697,Petäjävesi/Toivila,Hikiä,175.0,400.0,,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1697"""", """"tyndp2024_invest_id""""=>""""1697""""""",24.903135,60.890358,25.202761,62.30112,,False
TYNDP2024_1780,Jylkkä,Toivila,300.0,400.0,,in_permitting,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1780"""", """"tyndp2024_invest_id""""=>""""1780""""""",24.061181,64.176578,25.184783,62.26907,,False
TYNDP2024_1781,Nuojuankangas,Petäjävesi,290.0,400.0,,in_permitting,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1781"""", """"tyndp2024_invest_id""""=>""""1781""""""",26.819749,64.546066,25.191775,62.285796,,False
TYNDP2024_1715,Westtirol (AT),Zell-Ziller (AT),104.0,220.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1715"""", """"tyndp2024_invest_id""""=>""""1715""""""",11.90094,47.232625,10.978088,47.284819,,False
TYNDP2024_1716,Chania I,Molai (through Sklavouna Terminal),179.0,150.0,,commissioned,2021,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1716"""", """"tyndp2024_invest_id""""=>""""1716""""""",23.042999,36.516921,23.98233,35.481473,,False
TYNDP2024_645,Laino (IT),Altomonte (IT),50.0,400.0,,in_permitting,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/645"""", """"tyndp2024_invest_id""""=>""""645""""""",15.756519,40.177824,15.757892,40.178873,,False
TYNDP2024_1727,Montecorvino (IT),Benevento (IT),0.0,400.0,,in_permitting,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1727"""", """"tyndp2024_invest_id""""=>""""1727""""""",14.776611,41.114085,15.24353,40.293733,,False
TYNDP2024_1787,Nea Santa,Fillipi,140.0,400.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1787"""", """"tyndp2024_invest_id""""=>""""1787""""""",24.285278,40.975751,25.713501,41.120746,,False
