,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,Status
23,Bugey,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.7973,5.2706,,,,,,G100000500310,operating
24,Bugey,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.7973,5.2706,,,,,,G100000500304,operating
25,Bugey,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.7973,5.2706,,,,,,G100000501177,announced
26,Cattenom,Nuclear,Steam Turbine,PP,France,1362.0,,1991.0,,,49.416,6.2169,,,,,,G100000500068,operating
27,Cattenom,Nuclear,Steam Turbine,PP,France,1362.0,,1992.0,,,49.416,6.2169,,,,,,G100000500069,operating
28,Cattenom,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,49.416,6.2169,,,,,,G100000500066,operating
29,Cattenom,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,49.416,6.2169,,,,,,G100000500067,operating
30,Cernavoda,Nuclear,Steam Turbine,PP,Romania,720.0,,2031.0,,,44.32401,28.0561,,,,,,G100000500674,pre-construction
31,Cernavoda,Nuclear,Steam Turbine,PP,Romania,720.0,,2032.0,,,44.3229,28.0573,,,,,,G100000500675,pre-construction
32,Cernavoda,Nuclear,Steam Turbine,PP,Romania,706.0,,1996.0,,,44.3205,28.0598,,,,,,G100000500375,operating
33,Cernavoda,Nuclear,Steam Turbine,PP,Romania,705.0,,2007.0,,,44.3218,28.0586,,,,,,G100000500377,operating
34,Chinon,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.2254,0.1656,,,,,,G100000500289,operating
35,Chinon,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.2254,0.1656,,,,,,G100000500292,operating
36,Chinon,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.2254,0.1656,,,,,,G100000500291,operating
37,Chinon,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.2254,0.1656,,,,,,G100000500290,operating
38,Chooz,Nuclear,Steam Turbine,PP,France,1560.0,,2000.0,,,50.0901,4.7872,,,,,,G100000500011,operating
39,Chooz,Nuclear,Steam Turbine,PP,France,1560.0,,2000.0,,,50.0901,4.7872,,,,,,G100000500010,operating
40,Civaux,Nuclear,Steam Turbine,PP,France,1561.0,,2002.0,,,46.4555,0.6582,,,,,,G100000500008,operating
41,Civaux,Nuclear,Steam Turbine,PP,France,1561.0,,2002.0,,,46.4555,0.6582,,,,,,G100000500009,operating
42,Cofrentes,Nuclear,Steam Turbine,PP,Spain,0.0,,2045.0,,,39.2134,-1.0509,,,,,,G100000500149,operating
43,Cruas,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.6325,4.7546,,,,,,G100000500279,operating
44,Cruas,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.6325,4.7546,,,,,,G100001017698,operating
45,Cruas,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.6325,4.7546,,,,,,G100000500281,operating
46,Cruas,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.6325,4.7546,,,,,,G100000500282,operating
47,Dabrowa Gornicza,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.3869042,19.336934,,,,,,G100001009049,announced
48,Dabrowa Gornicza,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.3869042,19.336934,,,,,,G100001009048,announced
49,Dabrowa Gornicza,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,50.3869042,19.336934,,,,,,G100001009047,announced
